id,periode,pecahan,value
cbn,6,HL,-72
cbn,7,HL,-123
cbn,8,HL,-189
cbn,9,HL,-214
cbn,10,HL,-155
cbn,11,HL,-131
cbn,12,HL,-386
cbn,1,IL,-70
cbn,2,IL,-2
cbn,3,IL,32
cbn,4,IL,84
cbn,5,IL,64
cbn,6,IL,26
cbn,7,IL,32
cbn,8,IL,-8
cbn,9,IL,-6
cbn,10,IL,8
cbn,11,IL,0
cbn,12,IL,-18
cbn,1,JL,58
cbn,2,JL,14
cbn,3,JL,70
cbn,4,JL,54
cbn,5,JL,372
cbn,6,JL,72
cbn,7,JL,82
cbn,8,JL,0
cbn,9,JL,-4
cbn,10,JL,-30
cbn,11,JL,12
cbn,12,JL,4
cbn,1,KL,0
cbn,2,KL,0
cbn,3,KL,0
cbn,4,KL,0
cbn,5,KL,0
cbn,6,KL,0
cbn,7,KL,0
cbn,8,KL,0
cbn,9,KL,0
cbn,10,KL,0
cbn,11,KL,0
cbn,12,KL,0
dpr,1,AK,-829
dpr,2,AK,-28
dpr,3,AK,445
dpr,4,AK,-80
dpr,5,AK,1694
dpr,6,AK,-427
dpr,7,AK,-107
dpr,8,AK,299
dpr,9,AK,154
dpr,10,AK,212
dpr,11,AK,51
dpr,12,AK,852
dpr,1,BK,-1634
dpr,2,BK,-65
dpr,3,BK,162
dpr,4,BK,-3
dpr,5,BK,1891
dpr,6,BK,-437
dpr,7,BK,-106
dpr,8,BK,128
dpr,9,BK,265
dpr,10,BK,81
dpr,11,BK,104
dpr,12,BK,613
dpr,1,CK,-249
dpr,2,CK,34
dpr,3,CK,53
dpr,4,CK,49
dpr,5,CK,209
dpr,6,CK,-1
dpr,7,CK,24
dpr,8,CK,42
dpr,9,CK,51
dpr,10,CK,77
dpr,11,CK,52
dpr,12,CK,70
dpr,1,DK,-538
dpr,2,DK,80
dpr,3,DK,210
dpr,4,DK,169
dpr,5,DK,572
dpr,6,DK,47
dpr,7,DK,46
dpr,8,DK,104
dpr,9,DK,108
dpr,10,DK,160
dpr,11,DK,101
dpr,12,DK,144
dpr,1,EK,-472
dpr,2,EK,68
dpr,3,EK,291
dpr,4,EK,258
dpr,5,EK,823
dpr,6,EK,2
dpr,7,EK,23
dpr,8,EK,117
dpr,9,EK,185
dpr,10,EK,209
dpr,11,EK,121
dpr,12,EK,175
dpr,1,FK,-1091
dpr,2,FK,79
dpr,3,FK,443
dpr,4,FK,527
dpr,5,FK,1181
dpr,6,FK,102
dpr,7,FK,105
dpr,8,FK,157
dpr,9,FK,192
dpr,10,FK,252
dpr,11,FK,185
dpr,12,FK,246
dpr,1,GK,-235
dpr,2,GK,35
dpr,3,GK,36
dpr,4,GK,12
dpr,5,GK,79
dpr,6,GK,7
dpr,7,GK,20
dpr,8,GK,22
dpr,9,GK,17
dpr,10,GK,19
dpr,11,GK,26
dpr,12,GK,12
dpr,1,GL,-940
dpr,2,GL,140
dpr,3,GL,144
dpr,4,GL,48
dpr,5,GL,316
dpr,6,GL,28
dpr,7,GL,80
dpr,8,GL,88
dpr,9,GL,68
dpr,10,GL,76
dpr,11,GL,104
dpr,12,GL,48
dpr,1,HL,579
dpr,2,HL,491
dpr,3,HL,619
dpr,4,HL,636
dpr,5,HL,714
dpr,6,HL,560
dpr,7,HL,784
dpr,8,HL,654
dpr,9,HL,608
dpr,10,HL,1011
dpr,11,HL,831
dpr,12,HL,575
dpr,1,IL,28
dpr,2,IL,426
dpr,3,IL,514
dpr,4,IL,504
dpr,5,IL,612
dpr,6,IL,442
dpr,7,IL,190
dpr,8,IL,536
dpr,9,IL,476
dpr,10,IL,186
dpr,11,IL,766
dpr,12,IL,644
dpr,1,JL,556
dpr,2,JL,382
dpr,3,JL,382
dpr,4,JL,408
dpr,5,JL,560
dpr,6,JL,410
dpr,7,JL,750
dpr,8,JL,810
dpr,9,JL,498
dpr,10,JL,492
dpr,11,JL,194
